subscription_id,customer_id,customer_name,customer_email,plan,region,mrr,subscription_start,subscription_end,status,churned_at,downgraded_from_mrr,expanded_to_mrr,recorded_at,source_file,data_quality_flags
d87a2ec1,b88d06b5,Taylor Jones,taylor.jones@initech.net,growth,us-east,403,2024-02-09,2024-08-01,active,,,,2026-05-05T00:43:38.485758+00:00,source_c.csv,
0020c958,b3c73dbb,Morgan Brown,morgan.brown@acme.com,starter,eu,93,2024-04-28,2024-12-08,active,,,,2026-05-05T00:43:38.485766+00:00,source_c.csv,
d097a937,c0e0c878,Taylor Miller,taylor.miller@umbrella.co,enterprise,apac,1403,2024-07-31,2024-09-28,downgraded,,1503,,2026-05-05T00:43:38.485775+00:00,source_c.csv,
cc138b1a,d9c7db08,Quinn Miller,quinn.miller@cyberdyne.tech,growth,us-west,389,2024-06-29,2024-12-26,downgraded,2025-01-29,389,,2026-05-05T00:43:38.485784+00:00,source_c.csv,
82bee208,00f0c660,Dana Smith,dana.smith@umbrella.co,growth,apac,396,2024-05-19,2025-01-25,active,,,,2026-05-05T00:43:38.485791+00:00,source_c.csv,
12775f1c,753709b1,Alex Miller,alex.miller@cyberdyne.tech,enterprise,us-east,1494,2024-08-27,2024-11-28,churned,2024-11-29,,,2026-05-05T00:43:38.485802+00:00,source_c.csv,
def4df0d,3c0f2bc4,Morgan Smith,morgan.smith@initech.net,enterprise,us-west,1502,2024-03-10,2024-11-29,active,,,,2026-05-05T00:43:38.485811+00:00,source_c.csv,
2dc748e5,29377f24,Casey Miller,casey.miller@initech.net,growth,us-east,50,2024-06-21,2025-01-29,downgraded,,399,,2026-05-05T00:43:38.485820+00:00,source_c.csv,
3db95ce5,a33f1c46,Taylor Johnson,taylor.johnson@acme.com,enterprise,us-west,1506,2024-01-27,2024-08-21,churned,2024-09-05,,,2026-05-05T00:43:38.485828+00:00,source_c.csv,
2b3acf9f,933ed2a4,Morgan Davis,morgan.davis@acme.com,starter,apac,108,2024-03-19,2024-08-16,downgraded,2024-08-29,108,,2026-05-05T00:43:38.485836+00:00,source_c.csv,
fa49ff01,47f0fb8c,Jordan Williams,jordan.williams@initech.net,enterprise,us-east,1497,2024-07-07,2024-10-28,active,,,,2026-05-05T00:43:38.485845+00:00,source_c.csv,
bbb6fd5d,436ae519,Taylor Johnson,taylor.johnson@cyberdyne.tech,growth,us-west,407,2024-07-11,2025-02-27,churned,2025-04-08,,,2026-05-05T00:43:38.485853+00:00,source_c.csv,
badbf64d,f892d66b,Alex Garcia,alex.garcia@cyberdyne.tech,starter,eu,98,2024-03-02,2025-01-13,active,,,,2026-05-05T00:43:38.485861+00:00,source_c.csv,
062282c3,2c11dde4,Quinn Davis,quinn.davis@acme.com,starter,eu,105,2024-06-23,2024-07-27,active,,,,2026-05-05T00:43:38.485869+00:00,source_c.csv,
691ba0d3,f02a8ea1,Morgan Jones,morgan.jones@cyberdyne.tech,enterprise,apac,403,2024-03-19,2024-11-24,churned,2024-12-24,1503,,2026-05-05T00:43:38.485877+00:00,source_c.csv,
4f71ea08,266c3556,Taylor Johnson,taylor.johnson@initech.net,growth,apac,207,2024-05-17,2024-11-26,downgraded,,407,,2026-05-05T00:43:38.485885+00:00,source_c.csv,
36bd44a4,97f87f8f,Alex Davis,alex.davis@initech.net,enterprise,us-west,1508,2024-07-13,2025-01-29,active,,,,2026-05-05T00:43:38.485893+00:00,source_c.csv,
b7ec9e44,17810318,Casey Smith,casey.smith@cyberdyne.tech,growth,us-west,397,2024-06-23,2024-12-11,expanded,,,497,2026-05-05T00:43:38.485901+00:00,source_c.csv,
4e09542f,5e2d5bb8,Taylor Davis,taylor.davis@umbrella.co,enterprise,us-east,1502,2024-09-07,2025-07-16,active,,,,2026-05-05T00:43:38.485908+00:00,source_c.csv,
0533a1c8,18082731,Taylor Jones,taylor.jones@cyberdyne.tech,starter,eu,98,2024-04-23,2024-12-14,active,,,,2026-05-05T00:43:38.485916+00:00,source_c.csv,
fb65c3b7,ea2b6109,Dana Jones,dana.jones@initech.net,growth,us-east,406,2024-06-18,2025-01-12,active,,,,2026-05-05T00:43:38.485924+00:00,source_c.csv,
76f9640a,ab064b59,Morgan Brown,morgan.brown@globex.io,enterprise,eu,1495,2024-06-10,2024-09-07,downgraded,2024-09-24,1495,,2026-05-05T00:43:38.485933+00:00,source_c.csv,
eee5cd50,0c32449b,Riley Williams,riley.williams@initech.net,starter,us-west,95,2024-05-31,2024-10-22,active,,,,2026-05-05T00:43:38.485941+00:00,source_c.csv,
8364db64,91a2c3ac,Casey Williams,casey.williams@umbrella.co,growth,us-east,390,2024-01-28,2024-12-04,active,,,,2026-05-05T00:43:38.485949+00:00,source_c.csv,
b2a0e760,019b76de,Dana Garcia,dana.garcia@globex.io,enterprise,apac,1498,2024-08-28,2025-05-28,expanded,,,1798,2026-05-05T00:43:38.485957+00:00,source_c.csv,
952eed99,765f3180,Jordan Smith,jordan.smith@globex.io,starter,eu,91,2024-07-24,2025-04-29,active,,,,2026-05-05T00:43:38.485965+00:00,source_c.csv,
4fb18859,1bf41df9,Quinn Brown,quinn.brown@cyberdyne.tech,starter,apac,96,2024-03-01,2025-01-08,active,,,,2026-05-05T00:43:38.485973+00:00,source_c.csv,
792f5b17,2304592a,Alex Johnson,alex.johnson@globex.io,growth,us-east,407,2024-08-07,2025-02-07,churned,2025-02-23,,,2026-05-05T00:43:38.485982+00:00,source_c.csv,
f764dd31,96bf75ad,Jordan Williams,jordan.williams@acme.com,starter,apac,96,2024-03-29,2025-02-02,active,,,,2026-05-05T00:43:38.485991+00:00,source_c.csv,
6f0f5d69,d915ab24,Casey Davis,casey.davis@acme.com,growth,us-west,390,2024-04-28,2024-10-20,churned,2024-11-05,,,2026-05-05T00:43:38.486000+00:00,source_c.csv,
b3f7efd1,453cf0b4,Morgan Jones,morgan.jones@globex.io,growth,us-west,392,2024-10-05,2025-02-25,active,,,,2026-05-05T00:43:38.486008+00:00,source_c.csv,
ffec1e83,adab02d4,Dana Johnson,dana.johnson@umbrella.co,growth,apac,408,2024-10-18,2025-04-11,churned,2025-05-25,,,2026-05-05T00:43:38.486017+00:00,source_c.csv,
6fc09e80,2e544a9b,Dana Johnson,dana.johnson@cyberdyne.tech,growth,apac,405,2024-10-03,2025-07-10,active,,,,2026-05-05T00:43:38.486024+00:00,source_c.csv,
1730cf46,9a58051f,Jordan Brown,jordan.brown@cyberdyne.tech,enterprise,eu,1499,2024-05-08,2024-06-18,churned,2024-06-19,,,2026-05-05T00:43:38.486033+00:00,source_c.csv,
0b3806c5,626b2e45,Dana Jones,dana.jones@globex.io,enterprise,apac,1490,2024-03-30,2024-12-23,expanded,,,1790,2026-05-05T00:43:38.486041+00:00,source_c.csv,
722872a1,8ae39368,Riley Garcia,riley.garcia@acme.com,starter,apac,50,2024-06-27,2025-02-19,downgraded,,104,,2026-05-05T00:43:38.486049+00:00,source_c.csv,
ab512e66,5d646244,Alex Davis,alex.davis@acme.com,enterprise,eu,1504,2024-05-27,2025-01-15,active,,,,2026-05-05T00:43:38.486056+00:00,source_c.csv,
878d351e,35ae9658,Dana Miller,dana.miller@acme.com,starter,eu,101,2024-09-20,2024-10-18,active,,,,2026-05-05T00:43:38.486066+00:00,source_c.csv,
14661789,c748c9fe,Taylor Jones,taylor.jones@cyberdyne.tech,enterprise,eu,1504,2024-08-14,2024-10-07,active,,,,2026-05-05T00:43:38.486075+00:00,source_c.csv,
b69131fa,f5ab9843,Taylor Williams,taylor.williams@initech.net,growth,apac,404,2024-03-03,2024-04-14,churned,2024-05-19,,,2026-05-05T00:43:38.486083+00:00,source_c.csv,
216202f1,94f675af,Jordan Williams,jordan.williams@umbrella.co,starter,eu,96,2024-02-28,2024-11-18,expanded,,,396,2026-05-05T00:43:38.486095+00:00,source_c.csv,
9f3ade5a,6a1c7403,Dana Williams,dana.williams@umbrella.co,growth,us-west,404,2024-08-29,2025-01-28,active,,,,2026-05-05T00:43:38.486103+00:00,source_c.csv,
bdb26950,143654f8,Casey Smith,casey.smith@initech.net,starter,apac,97,2024-07-31,2025-02-18,churned,2025-03-27,,,2026-05-05T00:43:38.486112+00:00,source_c.csv,
e66d598d,ebe84d8f,Riley Garcia,riley.garcia@cyberdyne.tech,starter,apac,103,2024-10-02,2025-07-04,churned,2025-07-28,,,2026-05-05T00:43:38.486121+00:00,source_c.csv,
15939403,122785ae,Quinn Brown,quinn.brown@umbrella.co,growth,apac,395,2024-05-02,2025-03-18,active,,,,2026-05-05T00:43:38.486129+00:00,source_c.csv,
ecc03c49,9f89f470,Morgan Davis,morgan.davis@acme.com,enterprise,eu,1501,2024-07-16,2025-07-12,active,,,,2026-05-05T00:43:38.486136+00:00,source_d.csv,
76c29261,16c54145,Dana Smith,dana.smith@globex.io,starter,us-west,103,2024-02-21,2024-12-14,active,,,,2026-05-05T00:43:38.486144+00:00,source_d.csv,
10a93144,5d7d1aea,Quinn Johnson,quinn.johnson@initech.net,starter,eu,50,2024-05-15,2024-12-02,downgraded,,104,,2026-05-05T00:43:38.486153+00:00,source_d.csv,
84353bf4,6d59e6e9,Jordan Brown,jordan.brown@initech.net,enterprise,us-east,1504,2024-10-04,2024-11-19,expanded,,,2004,2026-05-05T00:43:38.486161+00:00,source_d.csv,
458d2699,bf4755f4,Morgan Jones,morgan.jones@acme.com,growth,us-east,392,2024-02-21,2024-11-02,active,,,,2026-05-05T00:43:38.486169+00:00,source_d.csv,
b8271d3a,7cba2059,Morgan Brown,morgan.brown@cyberdyne.tech,growth,us-west,400,2024-07-10,2025-03-15,active,,,,2026-05-05T00:43:38.486176+00:00,source_d.csv,
14661ca1,2d4ac272,Quinn Brown,quinn.brown@umbrella.co,starter,us-west,50,2024-02-10,2025-01-15,downgraded,,94,,2026-05-05T00:43:38.486186+00:00,source_d.csv,
4f2b3269,d5c98dbb,Casey Smith,casey.smith@umbrella.co,growth,us-east,209,2024-05-10,2025-01-28,downgraded,,409,,2026-05-05T00:43:38.486195+00:00,source_d.csv,
3cb79b80,ee9361b4,Quinn Jones,quinn.jones@umbrella.co,growth,apac,200,2024-10-27,2025-04-26,downgraded,,400,,2026-05-05T00:43:38.486204+00:00,source_d.csv,
1e1c689b,727b8988,Riley Jones,riley.jones@initech.net,growth,apac,392,2024-05-01,2024-12-10,active,,,,2026-05-05T00:43:38.486212+00:00,source_d.csv,
0ad6b987,771490e4,Dana Jones,dana.jones@globex.io,growth,us-west,,2024-10-16,2024-12-08,churned,2024-12-30,,,2026-05-05T00:43:38.486221+00:00,source_d.csv,missing_mrr
5c349f2f,5f83b9fc,Morgan Johnson,morgan.johnson@acme.com,enterprise,apac,1495,2024-05-08,2025-05-08,active,,,,2026-05-05T00:43:38.486229+00:00,source_d.csv,
dbfaf1bb,982f24c3,Jordan Jones,jordan.jones@initech.net,starter,us-west,107,2024-07-05,2024-10-08,churned,2024-10-19,,,2026-05-05T00:43:38.486237+00:00,source_d.csv,
adcc16de,e848cfc7,Casey Williams,casey.williams@initech.net,starter,eu,50,2024-07-06,2025-05-01,downgraded,,106,,2026-05-05T00:43:38.486246+00:00,source_d.csv,
950a48da,31bc7611,Jordan Williams,jordan.williams@globex.io,enterprise,eu,399,2024-02-28,2024-11-21,downgraded,,1499,,2026-05-05T00:43:38.486254+00:00,source_d.csv,
a6f43d25,25ad549d,Jordan Davis,jordan.davis@initech.net,starter,eu,101,2024-01-08,2024-06-19,churned,2024-08-01,,,2026-05-05T00:43:38.486263+00:00,source_d.csv,
a18be12e,d85f257f,Taylor Davis,taylor.davis@acme.com,enterprise,eu,1501,2024-07-09,2024-09-30,churned,2024-11-04,,,2026-05-05T00:43:38.486271+00:00,source_d.csv,
51b1840a,cc8a0558,Dana Jones,dana.jones@umbrella.co,enterprise,us-east,1496,2024-02-02,2025-01-20,,,,,2026-05-05T00:43:38.486280+00:00,source_d.csv,missing_status
5a63af4f,2511181c,Jordan Brown,jordan.brown@cyberdyne.tech,starter,apac,98,2024-09-09,2024-12-05,active,,,,2026-05-05T00:43:38.486288+00:00,source_d.csv,
9083c5b2,ab565d37,Morgan Miller,morgan.miller@acme.com,growth,eu,50,2024-08-02,2025-06-26,downgraded,,406,,2026-05-05T00:43:38.486297+00:00,source_d.csv,
ccbf671b,ef1a46ff,Dana Brown,dana.brown@initech.net,starter,eu,100,2024-04-21,2025-01-01,active,,,,2026-05-05T00:43:38.486304+00:00,source_d.csv,
119da8ee,4bf7064c,Quinn Jones,quinn.jones@globex.io,enterprise,us-east,1509,2024-07-02,2024-08-30,,,,1809,2026-05-05T00:43:38.486313+00:00,source_d.csv,missing_status
f620c3b0,262ecb1f,Riley Brown,riley.brown@globex.io,enterprise,us-east,1495,2024-01-11,2024-03-04,churned,2024-03-17,,,2026-05-05T00:43:38.486321+00:00,source_d.csv,
f275889f,4a6cf580,Taylor Garcia,taylor.garcia@globex.io,enterprise,us-east,1495,2024-10-27,2025-03-14,,2025-04-21,,,2026-05-05T00:43:38.486330+00:00,source_d.csv,missing_status
0a85de8e,dc1c45f6,Casey Williams,casey.williams@acme.com,growth,us-west,393,2024-03-07,2025-01-05,churned,2025-01-06,,,2026-05-05T00:43:38.486338+00:00,source_d.csv,
4a2c5839,c4e2fda1,Riley Smith,riley.smith@globex.io,starter,us-west,,2024-05-01,2025-03-26,active,,,,2026-05-05T00:43:38.486346+00:00,source_d.csv,missing_mrr
0e76e64e,68afc78a,Jordan Davis,jordan.davis@umbrella.co,enterprise,us-east,1502,2024-09-26,,churned,2025-01-22,,,2026-05-05T00:43:38.486354+00:00,source_d.csv,missing_subscription_end
3797972d,074af9ee,Alex Jones,alex.jones@umbrella.co,growth,us-east,405,2024-04-23,2025-03-31,churned,2025-04-01,,,2026-05-05T00:43:38.486362+00:00,source_d.csv,
2d421d13,5b293582,Dana Davis,dana.davis@acme.com,growth,us-west,50,2024-08-06,2024-10-28,downgraded,,401,,2026-05-05T00:43:38.486370+00:00,source_d.csv,
13c002e7,8c175567,Riley Miller,riley.miller@cyberdyne.tech,starter,apac,93,2024-05-20,2025-05-02,active,,,,2026-05-05T00:43:38.486379+00:00,source_d.csv,
ee65a90e,d3257dea,Jordan Brown,jordan.brown@umbrella.co,enterprise,us-west,1508,2024-08-08,2024-10-25,,,,,2026-05-05T00:43:38.486387+00:00,source_d.csv,missing_status
efce15bd,58ff69d2,Quinn Johnson,quinn.johnson@initech.net,growth,eu,399,2024-08-20,2025-04-09,active,,,,2026-05-05T00:43:38.486394+00:00,source_d.csv,
99b62506,0b1aa12d,Jordan Johnson,jordan.johnson@acme.com,growth,eu,393,2024-08-30,2024-10-31,,,,,2026-05-05T00:43:38.486404+00:00,source_d.csv,missing_status
fc3103fc,040c84a6,Riley Johnson,riley.johnson@umbrella.co,starter,apac,106,2024-01-31,2024-12-24,active,,,,2026-05-05T00:43:38.486412+00:00,source_d.csv,
47d2189e,1da70271,Casey Garcia,casey.garcia@acme.com,enterprise,us-west,1490,2024-05-27,2025-04-27,churned,2025-05-10,,,2026-05-05T00:43:38.486420+00:00,source_d.csv,
3856ac51,d475f9f7,Riley Garcia,riley.garcia@acme.com,enterprise,us-west,1504,2024-04-24,2024-07-16,churned,2024-08-21,,,2026-05-05T00:43:38.486428+00:00,source_d.csv,
daedd3ab,e0c679d4,Casey Smith,casey.smith@globex.io,growth,eu,406,2024-10-12,,active,,,,2026-05-05T00:43:38.486436+00:00,source_d.csv,missing_subscription_end
df929b92,97d517e0,Morgan Miller,morgan.miller@acme.com,growth,us-east,400,2024-01-04,2024-05-03,active,,,,2026-05-05T00:43:38.486444+00:00,source_d.csv,
2810b4cc,66a8b593,Quinn Davis,quinn.davis@initech.net,starter,eu,105,2024-04-20,2024-11-26,active,,,,2026-05-05T00:43:38.486452+00:00,source_d.csv,
e9bb0465,01734217,Jordan Smith,jordan.smith@globex.io,enterprise,us-east,1499,2024-10-17,2025-09-15,active,,,,2026-05-05T00:43:38.486460+00:00,source_d.csv,
1f426688,f9e49ee9,Quinn Davis,quinn.davis@cyberdyne.tech,enterprise,eu,1491,2024-05-19,2025-01-28,,,,,2026-05-05T00:43:38.486468+00:00,source_d.csv,missing_status
7634f6b5,a6cf5875,Quinn Johnson,quinn.johnson@initech.net,starter,apac,105,2024-02-28,2024-09-19,,2024-10-26,,,2026-05-05T00:43:38.486477+00:00,source_d.csv,missing_status
3f8cb2cc,b51e15ab,Quinn Smith,quinn.smith@acme.com,enterprise,us-west,1498,2024-01-24,2024-06-12,active,,,,2026-05-05T00:43:38.486484+00:00,source_d.csv,
f0652349,2db9cd06,Jordan Smith,jordan.smith@umbrella.co,starter,us-west,97,2024-05-28,2024-12-09,churned,2024-12-20,,,2026-05-05T00:43:38.486492+00:00,source_d.csv,
d9bdea09,fda1c533,Riley Johnson,riley.johnson@umbrella.co,growth,apac,306,2024-04-27,2025-02-05,downgraded,,406,,2026-05-05T00:43:38.486500+00:00,source_d.csv,
79c307a0,d068ded5,Quinn Miller,quinn.miller@umbrella.co,starter,apac,,2024-02-09,2024-08-15,active,,,,2026-05-05T00:43:38.486510+00:00,source_d.csv,missing_mrr
5773b52d,952e8837,Dana Garcia,dana.garcia@acme.com,starter,us-east,99,2024-03-28,2025-03-07,active,,,,2026-05-05T00:43:38.486518+00:00,source_d.csv,
1ea7dc17,a015b297,Jordan Miller,jordan.miller@initech.net,starter,eu,102,2024-10-28,,churned,2025-07-02,,,2026-05-05T00:43:38.486527+00:00,source_d.csv,missing_subscription_end
