subscription_id,customer_id,customer_name,customer_email,plan,region,mrr,subscription_start,subscription_end,status,churned_at,downgraded_from_mrr,expanded_to_mrr,recorded_at
df929b92,97d517e0,Morgan Miller,morgan.miller@acme.com,growth,us-east,400,2024-01-04,2024-05-03,active,,,,2026-05-05T00:43:38.486444+00:00
2810b4cc,66a8b593,Quinn Davis,quinn.davis@initech.net,starter,eu,105,2024-04-20,2024-11-26,active,,,,2026-05-05T00:43:38.486452+00:00
e9bb0465,01734217,Jordan Smith,jordan.smith@globex.io,enterprise,us-east,1499,2024-10-17,2025-09-15,active,,,,2026-05-05T00:43:38.486460+00:00
1f426688,f9e49ee9,Quinn Davis,quinn.davis@cyberdyne.tech,enterprise,eu,1491,2024-05-19,2025-01-28,active,,,,2026-05-05T00:43:38.486468+00:00
7634f6b5,a6cf5875,Quinn Johnson,quinn.johnson@initech.net,starter,apac,105,2024-02-28,2024-09-19,churned,2024-10-26,,,2026-05-05T00:43:38.486477+00:00
3f8cb2cc,b51e15ab,Quinn Smith,quinn.smith@acme.com,enterprise,us-west,1498,2024-01-24,2024-06-12,active,,,,2026-05-05T00:43:38.486484+00:00
f0652349,2db9cd06,Jordan Smith,jordan.smith@umbrella.co,starter,us-west,97,2024-05-28,2024-12-09,churned,2024-12-20,,,2026-05-05T00:43:38.486492+00:00
d9bdea09,fda1c533,Riley Johnson,riley.johnson@umbrella.co,growth,apac,306,2024-04-27,2025-02-05,downgraded,,406,,2026-05-05T00:43:38.486500+00:00
79c307a0,d068ded5,Quinn Miller,quinn.miller@umbrella.co,starter,apac,103,2024-02-09,2024-08-15,active,,,,2026-05-05T00:43:38.486510+00:00
5773b52d,952e8837,Dana Garcia,dana.garcia@acme.com,starter,us-east,99,2024-03-28,2025-03-07,active,,,,2026-05-05T00:43:38.486518+00:00
1ea7dc17,a015b297,Jordan Miller,jordan.miller@initech.net,starter,eu,102,2024-10-28,2025-06-18,churned,2025-07-02,,,2026-05-05T00:43:38.486527+00:00
5b66d606,e973d716,Jordan Brown,jordan.brown@initech.net,starter,us-west,91,2024-09-18,2025-09-05,active,,,,2026-05-05T00:43:38.486535+00:00
cc08087e,94ce6365,Taylor Williams,taylor.williams@cyberdyne.tech,starter,us-east,92,2024-03-15,2024-08-21,active,,,,2026-05-05T00:43:38.486544+00:00
6a1d2096,e408c000,Dana Garcia,dana.garcia@initech.net,starter,us-east,109,2024-09-09,2025-06-01,active,,,,2026-05-05T00:43:38.486552+00:00
6cf00087,47576699,Alex Garcia,alex.garcia@cyberdyne.tech,growth,apac,403,2024-06-04,2024-11-19,active,,,,2026-05-05T00:43:38.486560+00:00
853bc351,5f138cb7,Casey Johnson,casey.johnson@acme.com,growth,apac,390,2024-01-30,2024-09-02,churned,2024-10-04,,,2026-05-05T00:43:38.486569+00:00
87668722,4bfe4251,Dana Brown,dana.brown@initech.net,growth,us-west,407,2024-10-10,2024-11-28,churned,2024-12-30,,,2026-05-05T00:43:38.486577+00:00
5848e61c,af83e739,Jordan Williams,jordan.williams@acme.com,starter,apac,103,2024-02-22,2024-09-12,active,,,,2026-05-05T00:43:38.486585+00:00
8dad8d76,9b704789,Morgan Garcia,morgan.garcia@initech.net,growth,apac,50,2024-09-24,2025-08-30,downgraded,,405,,2026-05-05T00:43:38.486593+00:00
79809b97,1e40b17b,Riley Johnson,riley.johnson@initech.net,growth,apac,408,2024-01-27,2025-01-12,active,,,,2026-05-05T00:43:38.486601+00:00
8c02c4d8,74503ca2,Jordan Williams,jordan.williams@initech.net,growth,apac,397,2024-03-17,2024-10-01,active,,,,2026-05-05T00:43:38.486609+00:00
f5548538,de994c6a,Quinn Garcia,quinn.garcia@globex.io,starter,us-east,108,2024-02-13,2024-08-17,churned,2024-09-29,,,2026-05-05T00:43:38.486617+00:00
ae1bee95,7d4e788d,Alex Garcia,alex.garcia@initech.net,enterprise,us-west,1502,2024-09-17,2025-04-18,active,,,,2026-05-05T00:43:38.486625+00:00
